Model,Manufacturer,Year,Weight Capacity,Distance_Autonomy,Max_Speed,Warranty_Expiration
Falcon X100,AeroTech,2018,10,20,30,5/10/2024
Falcon X200,AeroTech,2020,12,25,35,7/15/2025
Eagle Z200,SkyVision,2021,15,30,40,11/20/2024
Eagle Z300,SkyVision,2022,18,35,42,9/30/2025
Storm R500,Cloud Dynamics,2021,14,28,38,3/14/2024
Storm R600,Cloud Dynamics,2023,16,32,45,12/22/2025
Nimbus V300,Altitude Tech,2022,20,40,50,1/15/2026
Nimbus V400,Altitude Tech,2023,22,45,55,5/1/2026
Orion 400,SkyMax,2019,12,22,28,8/15/2024
Orion 500,SkyMax,2021,14,26,30,2/10/2025
Cumulus Q600,Drone Innovations,2022,15,30,35,4/20/2025
Cumulus Q700,Drone Innovations,2023,17,34,37,6/18/2026
Scout Pro 500,Vantage Robotics,2021,10,25,33,10/30/2024
Scout Pro 600,Vantage Robotics,2023,12,27,36,3/12/2026
Sentinel A100,Guardian Drones,2024,18,50,48,1/25/2027
Sentinel B200,Guardian Drones,2023,20,55,50,5/30/2026
Blackhawk 3000,Falcon Industries,2022,25,40,60,11/15/2026
Blackhawk 4000,Falcon Industries,2024,30,60,65,4/1/2027
Explorer R200,Rover Tech,2023,16,30,40,9/5/2026
Explorer R300,Rover Tech,2022,18,35,42,12/20/2026
